alue;etuus;vuosi;kuukausi;paiva;variable;val;type
Uusimaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;82433;Saajat
Uusimaa;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;50591;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;835;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;636;Saajakotitaloudet
Varsinais-Suomi;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;15818;Saajat
Varsinais-Suomi;Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;10155;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;295;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;225;Saajakotitaloudet
Etelä-Karjala;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;4359;Saajat
Etelä-Karjala;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;3016;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;360;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;236;Saajakotitaloudet
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;4584;Saajat
Etelä-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;3093;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;224;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;188;Saajakotitaloudet
Etelä-Savo;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;4374;Saajat
Etelä-Savo;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;3053;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;143;Saajat
Kainuu;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;90;Saajakotitaloudet
Kainuu;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;1933;Saajat
Kainuu;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;1416;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;322;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;248;Saajakotitaloudet
Kanta-Häme;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;6605;Saajat
Kanta-Häme;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;4389;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;75;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;61;Saajakotitaloudet
Keski-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;1450;Saajat
Keski-Pohjanmaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;983;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;533;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;412;Saajakotitaloudet
Keski-Suomi;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;10905;Saajat
Keski-Suomi;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;7540;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;321;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;247;Saajakotitaloudet
Kymenlaakso;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;6398;Saajat
Kymenlaakso;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;4395;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;300;Saajat
Lappi;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;230;Saajakotitaloudet
Lappi;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;4842;Saajat
Lappi;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;3227;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;982;Saajat
Pirkanmaa;Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;783;Saajakotitaloudet
Pirkanmaa;Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;21343;Saajat
