SHP;DATE;DAY_CASES;TOTAL_CASES;lab;updated;WEEK;LABEL;GROUP;Y
Kaikki Alueet;2020-09-12;40;8744;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-09-13;46;8790;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-09-14;59;8849;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-09-15;53;8902;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-09-16;57;8959;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-09-17;85;9044;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-09-18;77;9121;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-09-19;61;9182;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-09-20;74;9256;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-09-21;120;9376;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
Kaikki Alueet;2020-09-22;110;9486;Varmistettuja koronatapauksia;2021-03-26;NA;NA;NA;NA
